#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,,,,,,,,,,,,,,,
Dataset: Metropolitan areas,,,,,,,,,,,,,,,,,,,,,,
Variables,,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",,,,,,,,,,,,,,,,,,,,
Unit,,US Dollar,,,,,,,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
  ES023: Gijon,,..,..,..,28084,29000,30096,31509,32741,32822,30763,30981,30457,29100,28386,28301,29289,29720,30674,31160,31362,..
  ES025: Santa Cruz de Tenerife,,..,..,..,27878,28805,29657,30198,31077,30474,28366,29122,28858,28801,28302,28638,29861,30584,31748,32039,32095,..
  ES026: Coruna (A),,..,..,..,27796,28890,30041,31058,32407,32642,31692,31893,31076,29826,29639,29556,31017,31687,31944,32675,32813,..
  ES501: Granada,,..,..,..,25204,25538,25783,27302,28002,27499,26019,25204,24891,24286,23878,24572,25786,25891,26256,26627,27038,..
  ES505: Elche/Elx,,..,..,..,28531,29697,30199,30659,30619,29694,27586,26977,26029,24855,24551,25721,26693,28126,28948,29065,29451,..
  ES510: Donostia-San Sebastian,,..,..,..,41452,42840,44145,46747,48252,47494,44830,45355,45075,44039,42968,43217,44358,46135,48542,49131,49898,..
  ES533: Marbella,,..,..,..,26147,27753,28285,28460,28372,27133,25318,24769,23712,22182,21409,22990,23558,24201,25261,25565,25386,..
EST: Estonia,,16648,17756,19084,20659,22209,24457,27007,29223,27816,23795,24421,26266,27205,27707,28636,29188,30084,31834,33062,34269,33154
  EE001: Tallinn,,24973,26849,28989,31412,33897,36485,40641,42711,39859,35067,35013,38219,40015,40750,42326,43547,44478,46617,47584,49329,47606
FIN: Finland,,37651,38560,39115,39811,41294,42305,43850,45987,46141,42210,43350,44257,43429,42836,42487,42558,43630,44893,45324,45838,44355
  FI001: Helsinki,,52476,53785,53315,53267,55193,56615,59193,61998,62138,58113,59436,58794,56972,56881,55688,56405,57341,58403,58637,59502,..
  FI002: Tampere,,37652,39848,40421,41203,42624,43748,44129,46656,46763,40874,42058,44053,41997,40399,39265,38533,39995,40903,41637,41954,..
  FI003: Turku,,38702,38081,41877,40956,42790,43360,45102,47899,47109,42234,39868,41552,40283,39221,39067,38330,40132,42182,42392,42505,..
FRA: France,,37672,38146,38299,38340,39154,39500,40175,40881,40753,39371,39947,40622,40563,40596,40634,40905,41242,42078,42725,43414,39919
  FR001: Paris,,..,..,..,..,..,..,61827,63796,64269,61957,64550,64673,65211,65778,65947,66667,67497,68747,70166,..,..
  FR003: Lyon,,..,..,..,..,..,..,48842,49308,50897,48552,49909,50501,50545,50109,50219,50659,51549,52971,54281,..,..
  FR004: Toulouse,,..,..,..,..,..,..,44757,43374,43682,43172,43007,44274,45429,45807,46381,46786,47233,47535,48713,..,..
  FR006: Strasbourg,,..,..,..,..,..,..,39190,40245,40959,39787,39575,40370,39630,39775,40059,39992,40626,41050,41663,..,..
  FR007: Bordeaux,,..,..,..,..,..,..,40801,41002,39665,39406,40315,41004,40792,39390,39580,39957,40638,41503,42540,..,..
  FR008: Nantes,,..,..,..,..,..,..,40437,41085,41600,40233,39650,41067,40981,40916,41119,41881,42065,42947,43399,..,..
  FR009: Lille,,..,..,..,..,..,..,34733,35517,36102,34803,34644,35581,34966,34993,35082,35499,35617,36429,36864,..,..
  FR010: Montpellier,,..,..,..,..,..,..,34580,34969,36137,35510,36216,36369,35865,34996,34904,34651,34982,35150,35738,..,..
  FR011: Saint-Etienne,,..,..,..,..,..,..,31474,32178,33634,32429,31346,32877,32185,31840,32083,32118,32292,32812,33340,..,..
  FR012: Le Havre,,..,..,..,..,..,..,36344,37806,37432,35864,36809,37535,37754,37912,37807,37155,37431,37728,37387,..,..
  FR013: Rennes,,..,..,..,..,..,..,41724,41727,40901,39392,39454,40381,40011,39693,40440,40550,40905,42135,42521,..,..
  FR014: Amiens,,..,..,..,..,..,..,32126,32964,33090,31983,32062,32450,32724,32726,32305,32683,31501,32452,33072,..,..
  FR016: Nancy,,..,..,..,..,..,..,33320,33591,33829,33340,32722,32585,32256,32860,32989,32041,32168,32477,32909,..,..
  FR017: Metz,,..,..,..,..,..,..,33240,33466,32339,30974,30736,31235,30616,30389,30823,31147,30612,31345,30914,..,..
  FR018: Reims,,..,..,..,..,..,..,40085,41403,40523,37529,38395,40085,39052,38793,38131,38013,37641,38805,39299,..,..
  FR019: Orleans,,..,..,..,..,..,..,41122,41605,39401,37986,38940,39251,38914,38585,37984,37792,37801,38067,38327,..,..
  FR020: Dijon,,..,..,..,..,..,..,40770,41911,41580,39954,40054,40711,40338,40420,40571,40397,40210,41295,42209,..,..
  FR021: Poitiers,,..,..,..,..,..,..,33697,34063,34340,33705,33240,34151,34812,34683,34920,34350,34141,34874,34537,..,..
  FR022: Clermont-Ferrand,,..,..,..,..,..,..,36548,37097,35546,34816,34663,36425,36095,36431,36517,36830,37032,39138,38417,..,..
  FR023: Caen,,..,..,..,..,..,..,36005,36333,36653,35684,37251,38152,36328,35900,35734,35703,35902,34604,34932,..,..
  FR024: Limoges,,..,..,..,..,..,..,33416,33451,32961,31945,30756,31401,30960,32011,32266,32279,31794,32815,33355,..,..
  FR025: Besancon,,..,..,..,..,..,..,35470,35635,34726,33181,33371,34232,32346,32381,32653,32958,33459,34051,34242,..,..
  FR026: Grenoble,,..,..,..,..,..,..,37873,38297,38104,36815,37912,38734,38094,37788,38084,37652,38713,39233,40035,..,..
  FR028: Saint Denis,,..,..,..,..,..,..,25013,25696,25636,24477,24335,25022,25109,25090,25306,25620,26103,26520,26692,..,..
  FR030: Fort-de-France,,..,..,..,..,..,..,25596,25764,26235,25262,26028,26650,26916,26983,27679,28106,28182,28772,29129,..,..
  FR032: Toulon,,..,..,..,..,..,..,30557,30775,28670,28234,28667,29275,29060,28702,28295,28456,28798,29351,29844,..,..
  FR034: Valenciennes,,..,..,..,..,..,..,34706,35481,35965,34796,34669,35678,35283,35575,35674,36160,36391,37316,37904,..,..
  FR035: Tours,,..,..,..,..,..,..,35560,35930,35240,34534,34819,35170,34959,35111,35286,35895,35885,36105,36833,..,..
  FR036: Angers,,..,..,..,..,..,..,32338,33069,33275,31911,32083,33246,32672,32717,32622,32471,32598,33102,33121,..,..
  FR037: Brest,,..,..,..,..,..,..,33742,34077,32117,30921,30778,31764,31530,31879,31911,32169,32408,32903,32862,..,..
  FR038: Le Mans,,..,..,..,..,..,..,31675,32384,32955,32211,31601,31994,31998,31761,32111,31509,31635,31821,31673,..,..
  FR039: Avignon,,..,..,..,..,..,..,34052,34219,35368,34695,34900,35397,35591,35684,36321,36265,36329,37272,37502,..,..
  FR040: Mulhouse,,..,..,..,..,..,..,33940,34778,34298,33082,32272,33136,32601,32668,32987,33175,33381,34471,35174,..,..
  FR043: Perpignan,,..,..,..,..,..,..,29813,30186,29783,28735,28309,29201,28486,27984,27890,28082,27825,28482,28642,..,..
  FR044: Nimes,,..,..,..,..,..,..,29416,29779,29648,28747,28419,28702,28282,27538,27714,27918,27902,28570,28542,..,..
  FR045: Pau,,..,..,..,..,..,..,38165,38435,38319,37025,37780,38843,38281,38841,38542,38685,38675,38321,38649,..,..
  FR046: Bayonne,,..,..,..,..,..,..,37665,38078,37495,36121,36583,37474,36546,36687,36260,35920,35504,34872,34772,..,..
  FR048: Annecy,,..,..,..,..,..,..,37997,38350,36730,34383,34643,36348,35372,35272,34995,35422,35714,36621,37057,..,..
  FR202: Aix-en-Provence,,..,..,..,..,..,..,39931,39926,40782,40107,42108,42088,43305,42155,42568,42417,42040,43058,43490,..,..
  FR203: Marseille,,..,..,..,..,..,..,38903,38636,39496,38946,41075,40983,42355,41322,41820,41730,41623,42677,43058,..,..
  FR205: Nice,,..,..,..,..,..,..,41614,41833,40301,39521,40673,41152,41261,41041,40794,41277,42531,43140,43734,..,..
  FR207: Lens - Lievin,,..,..,..,..,..,..,26780,27357,27907,27014,27183,27509,27323,27531,27727,27441,27866,28408,28649,..,..
  FR215: Rouen,,..,..,..,..,..,..,38606,39709,39137,37352,38189,38704,38664,38589,38438,37791,37790,38050,37577,..,..
  FR520: Les Abymes,,..,..,..,..,..,..,24906,24995,25516,24240,24873,25273,25431,25340,25795,26015,26571,26775,27163,..,..
GBR: United Kingdom,,37144,37776,38422,39412,40143,40918,41672,42302,41859,39777,40321,40576,40866,41371,42313,43087,43708,44326,44765,45259,40905
  UK001: London,,..,55813,56334,57965,58984,60731,61799,64374,63151,59567,60335,60819,61547,62638,64780,66102,67940,68524,69281,69863,63802
  UK002: West Midlands urban area,,..,32124,32564,33141,33705,33937,33970,34096,33262,31400,32006,32103,32001,32523,33256,33960,35048,35447,35915,35932,32596
  UK003: Leeds,,..,32650,33350,34601,35267,35845,36356,36999,35679,34369,34147,34415,34554,34733,35154,36411,36455,37137,37831,37990,34485
  UK004: Glasgow,,..,32590,33100,34130,35527,36722,37750,37482,37719,36174,35436,35865,36025,36839,38060,38280,38156,39273,39192,39666,36506
  UK006: Liverpool,,..,27269,28272,29790,30529,30654,31964,31474,31639,31525,31984,31735,30831,31069,31872,32646,32664,33020,32966,33749,31161
  UK007: Edinburgh,,..,42115,44064,46577,48611,49543,50027,51310,49652,48611,47643,47296,47572,48377,49132,49987,51974,53089,54004,54002,49214
  UK008: Manchester,,..,34268,35059,35153,36231,37024,37738,38193,37024,35944,36118,35974,36754,37283,37806,38906,39706,40555,41101,41702,38321
  UK009: Cardiff,,..,29088,29869,30947,31296,31811,32531,33053,31745,31110,31269,31937,32706,33017,33380,33893,34877,35029,35252,35870,32889
  UK010: Sheffield,,..,27721,28773,29725,30489,30558,31139,32070,30627,29407,29732,29889,30073,30128,30602,31542,31337,31633,31330,31789,29320
  UK011: Bristol,,..,40374,41385,42227,43052,42400,42813,43850,43743,42797,43780,43531,44194,43996,45519,45981,47202,48027,47443,48697,44961
  UK012: Belfast,,..,34728,35318,37221,37876,38702,39832,40296,39052,37602,36739,37243,37500,37611,38145,39132,40804,41748,42254,42772,39083
  UK013: Newcastle upon Tyne,,..,28665,30195,30777,32423,32921,33611,33185,32626,30992,31555,32082,32506,31501,31921,32840,33161,33452,33108,33552,30104
  UK014: Leicester,,..,32791,33165,34180,34859,34853,35948,36222,36054,34461,35255,34338,34850,35285,36199,37154,37430,37115,37583,38129,34500
  UK016: Aberdeen,,..,44182,45293,44560,45583,46458,50893,54173,57002,54665,55298,55560,57277,59738,61049,58827,53777,52496,52107,51666,46489
  UK017: Cambridge,,..,40701,42000,41819,42119,42034,43760,43847,43544,42195,42419,42197,43177,43318,43806,45135,45665,46943,46371,47428,43813
  UK018: Exeter,,..,29907,30931,31750,33215,33216,34059,33433,33114,31700,32479,32480,32502,32897,33318,34103,34149,34753,34347,34605,30434
  UK019: Lincoln,,..,30129,30713,31286,29711,29660,30642,30733,30844,29233,29406,29475,29768,30623,31012,31192,30571,31650,32229,32599,29028
  UK023: Portsmouth,,..,32943,33999,34014,34788,35217,35644,36474,36692,35196,36096,36207,37195,37617,38729,38660,38672,39321,38418,39302,36061
  UK025: Coventry,,..,38202,38489,39419,40052,40696,40868,40756,40170,38123,39172,39779,41236,42586,43900,46112,46688,47307,46548,46219,41008
  UK026: Kingston upon Hull,,..,29234,30564,31631,32132,32203,33625,33314,33662,32392,31111,30255,30328,30302,30730,32083,32229,32970,33742,34508,31416
  UK027: Stoke-on-Trent,,..,27796,28756,29470,30391,30687,31069,30908,31308,29642,30227,30770,30796,31470,31541,32274,32214,33364,34214,34708,31748
  UK029: Nottingham,,..,30502,31090,31613,32715,33268,33941,34170,33834,32286,32910,33248,33978,34105,34581,34968,35222,35445,35813,36349,33746
  UK033: Guildford,,..,50774,51270,51731,51590,52060,53980,53834,54247,52161,52827,52099,52400,53267,55653,57035,56635,57125,57741,59445,54870
  UK506: Doncaster,,..,24249,24971,25697,26487,26395,26903,27668,26500,24911,25471,25548,26221,26215,26952,28176,28179,29060,28915,29211,26601
  UK510: Sunderland,,..,28854,30643,31408,33498,34147,35103,34677,34848,34408,33891,34043,34068,37003,37798,38418,37959,38836,39016,39581,35238
  UK513: Medway,,..,24585,25525,26291,26946,27619,28160,28308,28674,27162,27835,27937,28870,29078,29145,29795,30456,31235,31801,33151,30733
  UK515: Brighton and Hove,,..,31347,32108,32764,32925,33630,34308,34710,34905,33438,33326,33311,34533,35809,36525,37195,38477,38893,39597,40149,37523
  UK516: Plymouth,,..,28689,29251,30172,31924,31633,32542,31936,31824,30517,31373,31608,32139,32475,32881,33551,33891,34554,34736,35395,31635
  UK517: Swansea,,..,27593,28101,28853,29745,30296,31049,31115,30683,29531,29771,30129,30166,30740,32090,31768,32356,32916,33842,34495,31293
  UK518: Derby,,..,36544,37307,37525,38643,39971,39830,39244,37762,35909,36517,37605,37484,37906,37277,37689,37677,37186,38192,39103,35128
  UK520: Southampton,,..,37278,38120,38773,40052,40495,40303,41086,41019,39640,40653,41628,41791,41814,42456,44087,43984,44549,44202,44253,39310
  UK525: Milton Keynes,,..,60482,62807,65425,62847,62908,63985,64215,62814,59053,59733,59958,60434,62944,68271,74451,72468,75567,76996,77853,70340
  UK528: Northampton,,..,37384,37492,38149,38847,39067,40829,41668,40903,38815,39945,39706,38762,40580,41683,42217,42501,43617,44721,44749,41047
  UK539: Bournemouth,,..,45664,45945,47543,48626,49686,50395,50267,50147,48354,47366,46828,46726,47840,48744,49001,50210,52284,51953,52423,47290
  UK546: Colchester,,..,25747,25964,27518,27449,27321,27551,27658,27379,26106,26742,26688,27079,26956,27713,28988,30323,31579,31011,30374,26659
  UK550: Dundee City,,..,28036,28743,29944,30336,30391,31367,31525,30914,29594,29701,29978,30741,30831,31759,31494,31848,32001,32379,33149,30410
  UK552: Reading,,..,60863,62647,65258,65325,66346,67077,67698,66997,65085,64810,66302,66860,66111,66972,68224,68232,68229,69841,70898,65657
  UK553: Blackpool,,..,27575,28512,30104,31178,31374,31507,31724,30957,28784,29359,29538,29827,30040,30551,32257,32841,33309,32799,33505,30292
  UK557: Blackburn with Darwen,,..,30642,31333,32688,33430,33213,33118,33522,32825,30928,31662,32036,32223,32507,33325,34890,35863,35725,35010,34991,32183
  UK559: Middlesbrough,,..,26443,27117,28363,29264,29508,30369,30664,30390,30261,30065,29967,29708,29548,29845,31146,31252,30267,30688,31419,28691
  UK560: Oxford,,..,41771,43388,43906,43076,43088,43320,43667,44425,42393,43089,43357,44213,45055,46577,47927,46675,46406,47307,48880,45991
  UK562: Preston,,..,46594,47509,49774,51286,50942,49912,50785,48929,45635,45755,45706,46022,46075,46833,48807,50630,50176,48074,48347,43643
  UK566: Norwich,,..,30640,31418,32107,32393,32713,34410,34326,34286,33883,33741,33489,34154,34965,34965,35087,35205,36570,34927,37073,32644
  UK568: Cheshire West and Chester,,..,37080,37074,38449,38650,38874,40647,41426,40324,40613,41718,41951,41831,42608,43377,42977,44320,45269,46273,47072,41186
  UK569: Ipswich,,..,25508,25968,26381,26530,27153,27922,27870,27194,25844,25875,26012,26289,27041,27412,27634,28328,28625,28317,29185,26553
GRC: Greece,,27665,28647,29628,31266,32774,32882,34631,35663,35464,33835,31911,28661,26719,26243,26553,26669,26722,27053,27573,28114,25593
  EL001: Athens,,34770,35894,37987,39816,42336,42909,45473,47215,47148,45658,42842,38631,35749,35364,36004,36044,36416,37092,37781,38580,..
  EL002: Thessaloniki,,24912,25785,26409,27786,29208,28371,30589,31479,31550,29935,27256,24481,22427,21572,21643,22155,22550,22867,23506,23940,..
HRV: Croatia,,16975,18313,19314,20389,21214,22114,23200,24346,24843,23019,22753,22792,22339,22316,22315,22983,23981,25020,26041,26858,25288
  HR001: Zagreb,,..,25075,26577,28321,29565,31720,32957,34469,35156,32711,33575,33367,32610,32120,32268,33150,34251,35667,37099,38664,35934
  HR005: Split,,..,14961,15479,16391,17890,17923,18944,20748,20247,18423,17989,17676,17114,17179,17268,17888,18739,19457,20112,21560,19432
HUN: Hungary,,18884,19694,20680,21593,22731,23752,24741,24835,25137,23513,23807,24319,24144,24637,25759,26772,27429,28696,30293,31691,30219
  HU001: Budapest,,29345,30761,33227,34205,36438,38829,40778,41354,41807,39880,39453,39701,39576,39571,40901,41159,42035,44018,46192,49130,46510
  HU002: Miskolc,,11948,12481,12866,13497,14694,16050,16188,15948,15491,13911,14193,14661,14575,15342,16638,18947,19142,21214,22188,21805,21279
  HU004: Pecs,,13912,14385,15323,15980,16508,16649,17247,17300,17314,15999,15837,15592,15897,15991,16544,17167,17816,18881,20400,21412,20671
  HU005: Debrecen,,14508,15803,16155,17331,17988,18257,18439,17783,18063,17211,17799,18278,18027,17650,18536,19052,18933,20554,21835,22648,21747
  HU009: Szekesfehervar,,21268,19731,19028,19821,21542,21866,23197,22966,23223,19607,20446,22127,22003,23164,24672,26898,27889,28999,30204,30671,29146
IRL: Ireland,,46671,48438,50414,51087,53678,55614,57045,58245,54164,50679,51249,51554,51320,51740,55908,69388,70076,75414,81441,84158,88015
  IE001: Dublin,,58510,59051,59886,60622,65449,69885,70757,73540,70379,65869,66512,63751,64121,68482,75530,76852,85263,89388,97510,101483,..
  IE002: Cork,,50664,57354,68628,63221,60506,62530,64567,68271,61947,61864,61178,66779,66135,60735,68199,..,..,..,147760,146094,..
ITA: Italy,,39485,40229,40313,40267,40581,40645,41238,41736,41032,38637,39173,39334,38142,37257,36583,36860,37417,38089,38508,39096,35632
  IT001: Rome,,..,..,57128,56515,58018,57971,58547,59007,57434,55034,54645,54459,51650,49693,48903,48288,49756,49865,49989,50088,..
  IT002: Milan,,..,..,60212,60234,60356,60436,60045,60767,63705,59966,62878,62478,59977,58040,58270,58792,59952,60706,61599,61133,..
  IT003: Naples,,..,..,27990,27744,27872,27884,28086,28263,28256,27007,26512,25876,25302,24356,24443,24743,25074,25459,25500,25952,..
  IT004: Turin,,..,..,45386,45051,44973,45295,45873,46103,45567,41331,42649,43297,40780,40731,40159,40802,41742,43043,44014,43500,..
  IT005: Palermo,,..,..,25556,25551,25844,26717,27178,27106,27905,26982,26847,25782,24958,24453,23994,24433,24196,24615,24543,24632,..
  IT006: Genoa,,..,..,44812,45429,46096,45874,46478,47620,48433,46040,45886,45105,43772,42708,44162,44896,45719,46780,46616,47634,..
  IT007: Florence,,..,..,51995,51685,51394,50921,52194,52297,52270,49708,49449,49635,49017,47772,48459,48448,49114,49414,50586,55283,..
  IT008: Bari,,..,..,30057,29352,29011,28578,29502,29869,29392,27926,28286,28207,27815,26914,26602,27350,27820,28023,28685,29057,..
  IT009: Bologna,,..,..,53552,52937,52899,52966,54833,54560,52883,49623,52334,53698,51420,51025,51198,51720,52111,53105,53972,54501,..
  IT010: Catania,,..,..,27168,27485,27114,27837,27744,27615,27869,26423,26106,25513,25018,24397,24350,23827,23966,24266,24300,24794,..
  IT011: Venice,,..,..,38148,39062,39675,39977,41584,41792,39759,38171,38471,38757,37040,36683,36858,37360,38012,38641,38983,39681,..
  IT012: Verona,,..,..,43268,43678,44553,44484,45709,46229,44563,44863,43813,43458,42773,42198,41904,42431,43597,44730,44496,44533,..
  IT016: Perugia,,..,..,42454,42193,41984,41756,42046,41963,41162,37171,37191,36904,35458,34343,33376,34128,33847,34167,34984,35053,..
  IT022: Taranto,,..,..,24664,25272,26034,26186,26167,26010,25625,24016,24610,25275,24768,22906,23682,22794,23837,24348,24003,23987,..
  IT027: Cagliari,,..,..,33961,34629,35589,35154,35395,35787,38984,36602,35906,34877,34728,33026,32462,34692,34933,35069,35346,35620,..
  IT028: Padua,,..,..,45318,46389,47412,47018,46681,47086,45473,41834,43736,45044,43517,42341,42537,42719,43789,44657,44867,45014,..
  IT029: Brescia,,..,..,50536,50152,49890,48453,49020,49863,48371,43089,43460,44268,42547,41525,41760,42031,43012,44115,44815,45030,..
  IT030: Modena,,..,..,52338,50578,49916,50064,51733,54156,54090,48507,48484,47848,46895,46820,47892,47964,49731,50966,50591,48834,..
  IT501: Messina,,..,..,26702,26397,26091,27146,27220,27432,25826,24498,24003,24897,24366,23848,23817,23272,23536,23893,24102,24214,..
  IT502: Prato,,..,..,48242,47393,47082,46179,46094,47277,43933,41802,39989,40400,39097,38796,38333,39268,40392,41517,42523,42159,..
  IT503: Parma,,..,..,53592,53171,53420,52161,52452,53312,51958,49300,50734,49889,48977,47700,47739,47921,48241,48975,49989,49941,..
  IT505: Reggio nell'Emilia,,..,..,52347,51122,50810,51968,52607,52904,52978,47244,46328,46735,44541,44033,43919,45325,46125,47236,47535,47788,..
  IT511: Bergamo,,..,..,48846,48933,49103,49207,50654,50650,47899,45912,45057,44757,42732,41569,41660,41828,42677,43399,44134,44747,..
JPN: Japan,,..,36035,36164,36746,37612,38213,40170,40804,39501,37992,38980,40043,40229,41192,41026,41451,41638,42573,43083,..,..
  JPN01: Tokyo,,..,43565,43452,44305,45623,46283,49399,49975,49180,46512,47172,48778,48604,49483,48655,48920,48842,49441,49700,..,..
  JPN02: Osaka,,..,35301,35180,35512,36284,36701,37816,38382,37408,35743,36899,37770,37803,38304,38530,38755,38732,39779,39958,..,..
  JPN03: Nagoya,,..,39337,40161,40496,41701,42795,47145,48203,43609,41805,42263,44166,46243,47531,47546,47869,47507,48517,49314,..,..
  JPN04: Fukuoka,,..,30544,30828,31589,32045,32838,33442,34411,33393,33513,34737,35037,34689,35238,35095,35378,35399,35910,36120,..,..
  JPN05: Sapporo,,..,31614,31528,31855,32547,32207,32410,32517,31851,31780,32224,32781,32917,33801,34051,34277,34079,34632,34903,..,..
  JPN06: Sendai,,..,32367,31976,32273,32520,32915,33917,33439,32430,31811,32506,32461,35189,36418,37511,38196,38209,39824,40051,..,..
  JPN07: Okayama,,..,33613,33842,33970,34178,35436,38538,38211,35936,34606,34913,36812,36086,37636,37007,38177,37366,38348,38376,..,..
  JPN08: Hiroshima,,..,33442,33112,34760,35253,36833,38003,39887,37143,35448,36067,37699,36472,37424,38986,39823,39900,40030,39697,..,..
  JPN09: Kitakyushu,,..,29835,30132,30872,31308,32090,32665,33590,32611,32830,33982,34305,33969,34481,34325,34980,35461,36403,36978,..,..
  JPN10: Naha,,..,24403,24538,25022,24855,25024,25388,25442,25166,25286,25703,26222,26377,27277,27189,28283,29152,29542,30032,..,..
  JPN11: Kumamoto,,..,27347,26863,27493,27941,28343,28495,29217,28310,27959,28989,29976,30130,30524,30397,30500,31738,32912,32881,..,..
  JPN12: Yokkaichi,,..,32279,33024,34171,35953,36901,40845,42023,38835,37334,39396,38869,40324,42181,40359,40880,42070,42831,43536,..,..
  JPN13: Takasaki,,..,32669,32835,33757,33872,34344,36073,37281,36376,35465,36873,37521,38139,39997,40316,41366,41538,42888,43385,..,..
  JPN14: Hamamatsu,,..,37048,38606,38764,39621,41406,43287,43892,42230,39696,41498,42448,42584,43851,43035,43510,43716,44238,45091,..,..
  JPN15: Niigata,,..,33114,33051,33444,34371,35150,35053,35441,34179,33717,34628,35330,35680,36762,36322,36507,36631,37429,38044,..,..
  JPN16: Utsunomiya,,..,34311,34548,35053,36283,37032,39563,40333,38332,37837,39049,39184,39111,41715,41290,43246,43430,44604,44770,..,..
  JPN17: Kanazawa,,..,40305,39830,39741,40280,40695,39723,40346,39459,37307,37782,38041,38928,40645,40980,41729,41522,42089,43039,..,..
  JPN18: Oita,,..,31598,31857,33210,34054,33055,33085,33468,33519,31329,33865,34167,34428,34826,35139,35892,35190,36527,37644,..,..
  JPN19: Kagoshima,,..,27561,27776,28188,28604,28941,28509,29242,28481,27891,28644,29074,28636,29537,29602,30173,30369,31504,31547,..,..
  JPN20: Himeji,,..,30784,30737,30911,31661,31932,34009,34184,33788,31602,33661,33849,34443,35113,35475,35762,35829,36636,36627,..,..
  JPN21: Mito,,..,32134,33071,33663,33370,34143,37392,39129,38380,36556,38275,40528,40269,40216,40718,41836,42031,44585,45469,..,..
  JPN22: Shizuoka,,..,36752,38298,38454,39305,41076,42942,43542,41893,39379,41167,42109,42245,43502,42692,43243,43605,44264,45245,..,..
  JPN23: Toyohashi,,..,41080,42069,42265,43762,44944,49881,51107,45644,43697,43976,46162,48652,50257,50229,50766,50423,51703,52644,..,..
  JPN24: Nagasaki,,..,25890,26181,26456,26693,26715,27550,28194,27788,28255,28995,29511,29472,29634,28903,30818,31517,31877,32772,..,..
  JPN25: Matsuyama,,..,31046,30688,31127,31820,31336,32132,31945,30431,30467,31702,33930,31777,32922,32823,33395,33961,34959,34331,..,..
  JPN26: Toyama,,..,36309,36926,38423,38874,39169,38520,39151,37433,35374,38037,39121,39096,39933,40282,40697,40183,41246,43012,..,..
  JPN27: Kofu,,..,30903,30985,31478,32139,32858,35204,35450,34755,32601,35377,36091,34766,35778,35672,36755,37486,39115,40706,..,..
  JPN28: Takamatsu,,..,32677,32900,32442,33131,32949,34745,35535,34331,34337,34430,36524,36678,36249,35952,35978,36458,37042,37294,..,..
  JPN29: Nagano,,..,33166,32811,33135,33859,34646,35641,36248,34322,33411,34495,35369,34822,35558,35951,37007,36986,37963,38944,..,..
  JPN30: Tokushima,,..,30196,30679,32250,32768,32153,33314,33450,33458,33287,35151,36067,35992,37882,38334,38085,37803,39019,39757,..,..
  JPN31: Numazu,,..,36208,37731,37885,38723,40468,42306,42897,41273,38796,40557,41485,41619,42857,42060,42723,43093,43772,44825,..,..
  JPN32: Fukui,,..,36306,36679,36984,36831,38149,40538,41289,40213,39281,40783,40884,38369,38999,37391,39693,38992,40904,42397,..,..
  JPN33: Wakayama,,..,29041,29183,29648,30223,31868,32895,32937,32604,30981,33044,34478,34817,35417,34407,33697,35334,34004,35501,..,..
  JPN34: Koriyama,,..,32590,32339,31998,33771,34207,36784,36445,35018,33788,34072,32317,34898,37719,38400,38164,38524,38922,39278,..,..
  JPN35: Kochi,,..,28210,27949,27920,27632,28029,28179,28333,27936,27912,28627,29338,29625,30819,31126,31316,31718,32123,32408,..,..
  JPN36: Miyazaki,,..,26195,26541,27555,27677,27599,28034,28180,27896,27725,28284,28767,28999,29993,30210,30382,30903,31557,31969,..,..
  JPN37: Morioka,,..,32961,33224,33534,34062,33887,33682,33929,32774,32428,32944,34134,36083,37892,38481,38762,38797,39885,40687,..,..
  JPN38: Fujieda,,..,36355,37884,38038,38879,40632,42477,43071,41440,38953,40721,41653,41787,43031,42230,42792,43148,43784,44783,..,..
  JPN39: Fukushima,,..,32551,32300,31959,33730,34166,36740,36401,34975,33747,34030,32278,34856,37673,38355,38253,38735,39310,39860,..,..
  JPN40: Matsumoto,,..,33159,32803,33127,33851,34638,35633,36240,34314,33403,34487,35361,34814,35550,35944,36961,36888,37765,38647,..,..
  JPN41: Yamagata,,..,28180,28308,28426,29198,29307,31745,32793,30253,29358,30776,30918,31620,33232,32596,33227,34216,36279,36475,..,..
  JPN42: Kurume,,..,31359,31670,32448,32906,33728,34333,35305,34276,34506,35716,36057,35703,36242,36078,36561,36845,37687,38135,..,..
  JPN43: Akita,,..,28014,28104,28437,28451,28615,29027,28861,27549,27421,28242,29220,29508,30165,30342,30366,30918,32455,32337,..,..
  JPN44: Asahikawa,,..,31554,31468,31795,32485,32146,32348,32456,31791,31720,32163,32720,32855,33737,33997,34454,34501,35375,35983,..,..
  JPN45: Kusatsu,,..,37628,38383,39257,40246,40257,40892,41657,40559,39634,41487,41280,40272,41372,41215,41614,42608,44310,44404,..,..
  JPN46: Fuji,,..,36597,38107,38272,39118,40863,42741,43333,41708,39204,41014,41951,42052,43303,42515,43088,43420,44066,45073,..,..
  JPN47: Isesaki,,..,32531,32699,33622,33725,34194,35914,37127,36225,35319,36728,37365,37993,39855,40184,41290,41463,42825,43298,..,..
