iso_code,lastdate,location,total_cases,total_deaths,total_cases_pm,total_deaths_pm,population,pop_density,median_age,gdp_per_capita,hosp_beds,vac_per_hund,aged_65_older,life_expectancy,hum_dev_ind,region
CHE,1/28/2024,Switzerland,4450977,14178,509237.66,1622.109,8740471,214.243,43.1,57410.166,4.53,,18.436,83.78,0.955,Western Europe
SYR,12/18/2022,Syria,57423,3163,2595.361,142.959,22125242,,21.7,,1.5,,,72.7,0.567,West Asia
TJK,2/20/2022,Tajikistan,17786,125,1787.037,12.559,9952789,64.281,23.3,2896.913,4.8,93.23,3.466,71.1,0.668,Central Asia
TZA,12/10/2023,Tanzania,43223,846,659.916,12.916,65497752,64.699,17.7,2683.304,0.7,,3.108,65.46,0.529,East Africa
THA,2/4/2024,Thailand,4765718,34555,66470.235,481.959,71697024,135.132,40.1,16277.671,2.1,,11.373,77.15,0.777,East Asia
TLS,7/16/2023,Timor,23460,138,17490.52,102.885,1341298,87.176,18,6570.102,5.9,,3.556,69.5,0.606,East Asia
TGO,10/22/2023,Togo,39527,290,4466.984,32.773,8848700,143.366,19.4,1429.813,0.7,,2.839,61.04,0.515,West Africa
TKL,7/16/2023,Tokelau,80,0,42260.961,0,1893,,,,,,,81.86,,Oceania / Aus
TON,1/7/2024,Tonga,16950,12,158608.364,112.289,106867,150.028,22.3,5425.621,2.6,,5.82,70.91,0.725,Oceania / Aus
TTO,5/7/2023,Trinidad and Tobago,191496,4390,125075.52,2867.326,1531043,266.886,36.2,28763.071,3,,10.014,73.51,0.796,Caribbean
TUN,6/11/2023,Tunisia,1153361,29423,93343.329,2381.25,12356116,74.228,32.7,10849.297,2.3,,8.001,76.7,0.74,North Africa
TUR,11/13/2022,Turkey,17004677,101419,199255.078,1188.394,85341248,104.914,31.6,25129.341,2.81,,8.153,77.69,0.82,West Asia
TCA,12/31/2023,Turks and Caicos Islands,6713,40,146809.255,874.776,45726,37.312,,,,,,80.22,,Caribbean
TUV,6/18/2023,Tuvalu,2943,1,259638.288,88.222,11335,373.067,,3575.104,,,,67.57,,Oceania / Aus
UGA,1/14/2024,Uganda,171890,3632,3637.915,76.868,47249588,213.759,16.4,1697.707,0.5,,2.168,63.37,0.544,East Africa
UKR,1/14/2024,Ukraine,5521032,109918,139062.707,2768.594,39701744,77.39,41.4,7894.393,8.8,,16.462,72.06,0.779,Eastern Europe
ARE,5/28/2023,United Arab Emirates,1067030,2349,113019.214,248.805,9441138,112.442,34,67293.483,1.2,,1.144,77.97,0.89,West Asia
GBR,1/28/2024,United Kingdom,24892903,232112,368734.933,3438.241,67508936,272.898,40.8,39753.244,2.54,,18.517,81.32,0.932,Western Europe
USA,5/14/2023,United States,103436829,1127152,305763.91,3331.912,338289856,35.608,38.3,54225.446,2.77,,15.413,78.86,0.926,North America
VIR,7/30/2023,United States Virgin Islands,25389,132,255219.695,1326.913,99479,306.48,42.2,,,,18.601,80.58,,Caribbean
URY,12/10/2023,Uruguay,1041111,7660,304169.749,2237.936,3422796,19.751,35.6,20551.409,2.8,,14.655,77.91,0.817,South America
UZB,12/10/2023,Uzbekistan,175081,1016,5056.104,29.341,34627648,76.134,28.2,6253.104,4,,4.469,71.72,0.72,Central Asia
VUT,6/4/2023,Vanuatu,12019,14,36784.149,42.847,326744,22.662,23.1,2921.909,,,4.394,70.47,0.609,Oceania / Aus
VAT,10/18/2020,Vatican,26,0,32178.218,0,808,,,,,,,75.12,,Western Europe
VEN,5/7/2023,Venezuela,552695,5856,19528.686,206.913,28301700,36.253,29,16745.022,0.8,,6.614,72.06,0.711,South America
VNM,10/22/2023,Vietnam,11624000,43206,118386.518,440.039,98186856,308.127,32.6,6171.884,2.6,,7.15,75.4,0.704,East Asia
WLF,6/4/2023,Wallis and Futuna,3550,8,306140.048,689.893,11596,,,,,,,79.94,,Oceania / Aus
YEM,11/6/2022,Yemen,11945,2159,354.487,64.072,33696612,53.508,20.3,1479.147,0.7,,2.922,66.12,0.47,West Asia
ZMB,12/3/2023,Zambia,349304,4069,17449.783,203.27,20017670,22.995,17.7,3689.251,2,,2.48,63.89,0.584,Southern Africa
ZWE,1/28/2024,Zimbabwe,266265,5737,16314.719,351.52,16320539,42.729,19.6,1899.775,1.7,,2.822,61.49,0.571,Southern Africa
